Source,Target,RespondentType,ConnectionCount
Amazon Q,Tabnine,Professional Developers,46
Amazon Q,Visual Studio Intellicode,Learning to Code,15
Amazon Q,Visual Studio Intellicode,Other Coders,37
Amazon Q,Visual Studio Intellicode,Professional Developers,133
Amazon Q,Whispr AI,Learning to Code,15
Amazon Q,Whispr AI,Other Coders,16
Amazon Q,Whispr AI,Professional Developers,45
Amazon Q,WolframAlpha,Learning to Code,10
Amazon Q,WolframAlpha,Other Coders,28
Amazon Q,WolframAlpha,Professional Developers,57
Amazon Q,You.com,Learning to Code,11
Amazon Q,You.com,Other Coders,16
Amazon Q,You.com,Professional Developers,26
Andi,Amazon Q,Learning to Code,5
Andi,Amazon Q,Other Coders,9
Andi,Amazon Q,Professional Developers,18
Andi,Andi,Learning to Code,14
Andi,Andi,Other Coders,21
Andi,Andi,Professional Developers,25
Andi,AskCodi,Learning to Code,8
Andi,AskCodi,Other Coders,10
Andi,AskCodi,Professional Developers,17
Andi,Bing AI,Learning to Code,10
Andi,Bing AI,Other Coders,15
Andi,Bing AI,Professional Developers,18
Andi,ChatGPT,Learning to Code,12
Andi,ChatGPT,Other Coders,17
Andi,ChatGPT,Professional Developers,30
Andi,Claude,Learning to Code,6
Andi,Claude,Other Coders,9
Andi,Claude,Professional Developers,25
Andi,Codeium,Learning to Code,7
Andi,Codeium,Other Coders,9
Andi,Codeium,Professional Developers,19
Andi,Cody,Learning to Code,7
Andi,Cody,Other Coders,9
Andi,Cody,Professional Developers,18
Andi,GitHub Copilot,Learning to Code,9
Andi,GitHub Copilot,Other Coders,17
Andi,GitHub Copilot,Professional Developers,22
Andi,Google Gemini,Learning to Code,8
Andi,Google Gemini,Other Coders,13
Andi,Google Gemini,Professional Developers,25
Andi,Lightning AI,Learning to Code,7
Andi,Lightning AI,Other Coders,9
Andi,Lightning AI,Professional Developers,15
Andi,Meta AI,Learning to Code,9
Andi,Meta AI,Other Coders,11
Andi,Meta AI,Professional Developers,17
Andi,Metaphor,Learning to Code,5
Andi,Metaphor,Other Coders,9
Andi,Metaphor,Professional Developers,14
Andi,Neeva AI,Learning to Code,8
Andi,Neeva AI,Other Coders,9
Andi,Neeva AI,Professional Developers,17
Andi,OpenAI Codex,Learning to Code,10
Andi,OpenAI Codex,Other Coders,10
Andi,OpenAI Codex,Professional Developers,20
Andi,Perplexity AI,Learning to Code,10
Andi,Perplexity AI,Other Coders,11
Andi,Perplexity AI,Professional Developers,19
Andi,Phind,Learning to Code,10
Andi,Phind,Other Coders,9
Andi,Phind,Professional Developers,15
Andi,Quora Poe,Learning to Code,9
Andi,Quora Poe,Other Coders,6
Andi,Quora Poe,Professional Developers,16
Andi,Replit Ghostwriter,Learning to Code,7
Andi,Replit Ghostwriter,Other Coders,8
Andi,Replit Ghostwriter,Professional Developers,16
Andi,Snyk Code,Learning to Code,9
Andi,Snyk Code,Other Coders,7
Andi,Snyk Code,Professional Developers,16
Andi,Tabnine,Learning to Code,8
Andi,Tabnine,Other Coders,7
Andi,Tabnine,Professional Developers,13
Andi,Visual Studio Intellicode,Learning to Code,10
Andi,Visual Studio Intellicode,Other Coders,10
Andi,Visual Studio Intellicode,Professional Developers,14
Andi,Whispr AI,Learning to Code,9
Andi,Whispr AI,Other Coders,6
Andi,Whispr AI,Professional Developers,15
Andi,WolframAlpha,Learning to Code,7
Andi,WolframAlpha,Other Coders,10
Andi,WolframAlpha,Professional Developers,15
Andi,You.com,Learning to Code,7
Andi,You.com,Other Coders,9
Andi,You.com,Professional Developers,15
AskCodi,Amazon Q,Learning to Code,6
AskCodi,Amazon Q,Other Coders,10
AskCodi,Amazon Q,Professional Developers,17
AskCodi,Andi,Learning to Code,7
AskCodi,Andi,Other Coders,8
AskCodi,Andi,Professional Developers,13
AskCodi,AskCodi,Learning to Code,13
AskCodi,AskCodi,Other Coders,16
AskCodi,AskCodi,Professional Developers,30
AskCodi,Bing AI,Learning to Code,11
AskCodi,Bing AI,Other Coders,17
AskCodi,Bing AI,Professional Developers,21
AskCodi,ChatGPT,Learning to Code,11
AskCodi,ChatGPT,Other Coders,23
AskCodi,ChatGPT,Professional Developers,52
AskCodi,Claude,Learning to Code,11
AskCodi,Claude,Other Coders,10
AskCodi,Claude,Professional Developers,28
AskCodi,Codeium,Learning to Code,11
AskCodi,Codeium,Other Coders,14
AskCodi,Codeium,Professional Developers,27
AskCodi,Cody,Learning to Code,9
AskCodi,Cody,Other Coders,12
AskCodi,Cody,Professional Developers,26
AskCodi,GitHub Copilot,Learning to Code,11
AskCodi,GitHub Copilot,Other Coders,18
AskCodi,GitHub Copilot,Professional Developers,33
AskCodi,Google Gemini,Learning to Code,7
AskCodi,Google Gemini,Other Coders,17
AskCodi,Google Gemini,Professional Developers,29
AskCodi,Lightning AI,Learning to Code,8
AskCodi,Lightning AI,Other Coders,9
AskCodi,Lightning AI,Professional Developers,12
AskCodi,Meta AI,Learning to Code,9
AskCodi,Meta AI,Other Coders,11
AskCodi,Meta AI,Professional Developers,18
AskCodi,Metaphor,Learning to Code,7
AskCodi,Metaphor,Other Coders,9
AskCodi,Metaphor,Professional Developers,13
AskCodi,Neeva AI,Learning to Code,9
AskCodi,Neeva AI,Other Coders,11
AskCodi,Neeva AI,Professional Developers,14
AskCodi,OpenAI Codex,Learning to Code,11
AskCodi,OpenAI Codex,Other Coders,11
AskCodi,OpenAI Codex,Professional Developers,19
AskCodi,Perplexity AI,Learning to Code,11
AskCodi,Perplexity AI,Other Coders,13
AskCodi,Perplexity AI,Professional Developers,20
AskCodi,Phind,Learning to Code,12
AskCodi,Phind,Other Coders,11
AskCodi,Phind,Professional Developers,13
AskCodi,Quora Poe,Learning to Code,9
AskCodi,Quora Poe,Other Coders,9
AskCodi,Quora Poe,Professional Developers,14
AskCodi,Replit Ghostwriter,Learning to Code,9
AskCodi,Replit Ghostwriter,Other Coders,9
AskCodi,Replit Ghostwriter,Professional Developers,14
AskCodi,Snyk Code,Learning to Code,10
AskCodi,Snyk Code,Other Coders,10
AskCodi,Snyk Code,Professional Developers,16
AskCodi,Tabnine,Learning to Code,10
AskCodi,Tabnine,Other Coders,12
AskCodi,Tabnine,Professional Developers,16
AskCodi,Visual Studio Intellicode,Learning to Code,12
AskCodi,Visual Studio Intellicode,Other Coders,16
AskCodi,Visual Studio Intellicode,Professional Developers,23
AskCodi,Whispr AI,Learning to Code,12
AskCodi,Whispr AI,Other Coders,8
AskCodi,Whispr AI,Professional Developers,16
AskCodi,WolframAlpha,Learning to Code,8
AskCodi,WolframAlpha,Other Coders,10
AskCodi,WolframAlpha,Professional Developers,17
AskCodi,You.com,Learning to Code,7
AskCodi,You.com,Other Coders,12
AskCodi,You.com,Professional Developers,15
Bing AI,Amazon Q,Learning to Code,33
Bing AI,Amazon Q,Other Coders,45
Bing AI,Amazon Q,Professional Developers,182
Bing AI,Andi,Learning to Code,15
Bing AI,Andi,Other Coders,12
Bing AI,Andi,Professional Developers,25
Bing AI,AskCodi,Learning to Code,19
Bing AI,AskCodi,Other Coders,17
Bing AI,AskCodi,Professional Developers,43
Bing AI,Bing AI,Learning to Code,374
Bing AI,Bing AI,Other Coders,820
Bing AI,Bing AI,Professional Developers,2614
Bing AI,ChatGPT,Learning to Code,499
Bing AI,ChatGPT,Other Coders,1039
Bing AI,ChatGPT,Professional Developers,3457
Bing AI,Claude,Learning to Code,105
Bing AI,Claude,Other Coders,222
Bing AI,Claude,Professional Developers,636
Bing AI,Codeium,Learning to Code,78
Bing AI,Codeium,Other Coders,129
Bing AI,Codeium,Professional Developers,363
Bing AI,Cody,Learning to Code,19
Bing AI,Cody,Other Coders,33
Bing AI,Cody,Professional Developers,95
Bing AI,GitHub Copilot,Learning to Code,288
Bing AI,GitHub Copilot,Other Coders,595
Bing AI,GitHub Copilot,Professional Developers,2481
Bing AI,Google Gemini,Learning to Code,300
Bing AI,Google Gemini,Other Coders,521
Bing AI,Google Gemini,Professional Developers,1548
Bing AI,Lightning AI,Learning to Code,28
Bing AI,Lightning AI,Other Coders,28
Bing AI,Lightning AI,Professional Developers,60
Bing AI,Meta AI,Learning to Code,103
Bing AI,Meta AI,Other Coders,131
Bing AI,Meta AI,Professional Developers,400
Bing AI,Metaphor,Learning to Code,18
Bing AI,Metaphor,Other Coders,11
Bing AI,Metaphor,Professional Developers,37
Bing AI,Neeva AI,Learning to Code,18
Bing AI,Neeva AI,Other Coders,14
Bing AI,Neeva AI,Professional Developers,28
Bing AI,OpenAI Codex,Learning to Code,53
Bing AI,OpenAI Codex,Other Coders,70
Bing AI,OpenAI Codex,Professional Developers,160
Bing AI,Perplexity AI,Learning to Code,78
Bing AI,Perplexity AI,Other Coders,146
Bing AI,Perplexity AI,Professional Developers,379
Bing AI,Phind,Learning to Code,37
Bing AI,Phind,Other Coders,62
Bing AI,Phind,Professional Developers,192
Bing AI,Quora Poe,Learning to Code,28
Bing AI,Quora Poe,Other Coders,32
Bing AI,Quora Poe,Professional Developers,65
Bing AI,Replit Ghostwriter,Learning to Code,21
Bing AI,Replit Ghostwriter,Other Coders,24
Bing AI,Replit Ghostwriter,Professional Developers,42
Bing AI,Snyk Code,Learning to Code,17
Bing AI,Snyk Code,Other Coders,20
Bing AI,Snyk Code,Professional Developers,69
Bing AI,Tabnine,Learning to Code,53
Bing AI,Tabnine,Other Coders,61
Bing AI,Tabnine,Professional Developers,192
Bing AI,Visual Studio Intellicode,Learning to Code,128
Bing AI,Visual Studio Intellicode,Other Coders,296
Bing AI,Visual Studio Intellicode,Professional Developers,1041
Bing AI,Whispr AI,Learning to Code,32
Bing AI,Whispr AI,Other Coders,40
Bing AI,Whispr AI,Professional Developers,108
Bing AI,WolframAlpha,Learning to Code,58
Bing AI,WolframAlpha,Other Coders,159
Bing AI,WolframAlpha,Professional Developers,311
Bing AI,You.com,Learning to Code,32
Bing AI,You.com,Other Coders,35
Bing AI,You.com,Professional Developers,77
ChatGPT,Amazon Q,Learning to Code,62
ChatGPT,Amazon Q,Other Coders,123
ChatGPT,Amazon Q,Professional Developers,716
ChatGPT,Andi,Learning to Code,21
ChatGPT,Andi,Other Coders,17
ChatGPT,Andi,Professional Developers,48
ChatGPT,AskCodi,Learning to Code,29
ChatGPT,AskCodi,Other Coders,27
ChatGPT,AskCodi,Professional Developers,79
ChatGPT,Bing AI,Learning to Code,371
ChatGPT,Bing AI,Other Coders,759
ChatGPT,Bing AI,Professional Developers,2421
ChatGPT,ChatGPT,Learning to Code,1714
ChatGPT,ChatGPT,Other Coders,4537
ChatGPT,ChatGPT,Professional Developers,21949
ChatGPT,Claude,Learning to Code,235
ChatGPT,Claude,Other Coders,653
ChatGPT,Claude,Professional Developers,2649
ChatGPT,Codeium,Learning to Code,185
ChatGPT,Codeium,Other Coders,364
ChatGPT,Codeium,Professional Developers,1454
ChatGPT,Cody,Learning to Code,35
ChatGPT,Cody,Other Coders,69
ChatGPT,Cody,Professional Developers,305
ChatGPT,GitHub Copilot,Learning to Code,830
ChatGPT,GitHub Copilot,Other Coders,2115
ChatGPT,GitHub Copilot,Professional Developers,12673
ChatGPT,Google Gemini,Learning to Code,702
ChatGPT,Google Gemini,Other Coders,1493
ChatGPT,Google Gemini,Professional Developers,6385
ChatGPT,Lightning AI,Learning to Code,44
ChatGPT,Lightning AI,Other Coders,46
ChatGPT,Lightning AI,Professional Developers,137
ChatGPT,Meta AI,Learning to Code,164
ChatGPT,Meta AI,Other Coders,285
ChatGPT,Meta AI,Professional Developers,1178
ChatGPT,Metaphor,Learning to Code,25
ChatGPT,Metaphor,Other Coders,16
ChatGPT,Metaphor,Professional Developers,57
ChatGPT,Neeva AI,Learning to Code,24
ChatGPT,Neeva AI,Other Coders,21
ChatGPT,Neeva AI,Professional Developers,48
ChatGPT,OpenAI Codex,Learning to Code,89
ChatGPT,OpenAI Codex,Other Coders,145
ChatGPT,OpenAI Codex,Professional Developers,475
ChatGPT,Perplexity AI,Learning to Code,147
ChatGPT,Perplexity AI,Other Coders,376
ChatGPT,Perplexity AI,Professional Developers,1385
ChatGPT,Phind,Learning to Code,79
ChatGPT,Phind,Other Coders,179
ChatGPT,Phind,Professional Developers,723
ChatGPT,Quora Poe,Learning to Code,46
ChatGPT,Quora Poe,Other Coders,69
ChatGPT,Quora Poe,Professional Developers,145
ChatGPT,Replit Ghostwriter,Learning to Code,32
ChatGPT,Replit Ghostwriter,Other Coders,37
ChatGPT,Replit Ghostwriter,Professional Developers,87
ChatGPT,Snyk Code,Learning to Code,32
ChatGPT,Snyk Code,Other Coders,54
ChatGPT,Snyk Code,Professional Developers,245
ChatGPT,Tabnine,Learning to Code,108
ChatGPT,Tabnine,Other Coders,145
ChatGPT,Tabnine,Professional Developers,691
ChatGPT,Visual Studio Intellicode,Learning to Code,303
ChatGPT,Visual Studio Intellicode,Other Coders,719
ChatGPT,Visual Studio Intellicode,Professional Developers,3201
ChatGPT,Whispr AI,Learning to Code,44
ChatGPT,Whispr AI,Other Coders,94
ChatGPT,Whispr AI,Professional Developers,341
ChatGPT,WolframAlpha,Learning to Code,131
ChatGPT,WolframAlpha,Other Coders,524
ChatGPT,WolframAlpha,Professional Developers,1135
ChatGPT,You.com,Learning to Code,49
ChatGPT,You.com,Other Coders,67
ChatGPT,You.com,Professional Developers,205
Claude,Amazon Q,Learning to Code,10
Claude,Amazon Q,Other Coders,31
Claude,Amazon Q,Professional Developers,148
Claude,Andi,Learning to Code,7
Claude,Andi,Other Coders,9
Claude,Andi,Professional Developers,20
Claude,AskCodi,Learning to Code,12
Claude,AskCodi,Other Coders,15
Claude,AskCodi,Professional Developers,26
Claude,Bing AI,Learning to Code,72
Claude,Bing AI,Other Coders,119
Claude,Bing AI,Professional Developers,291
Claude,ChatGPT,Learning to Code,210
Claude,ChatGPT,Other Coders,492
Claude,ChatGPT,Professional Developers,2030
Claude,Claude,Learning to Code,171
Claude,Claude,Other Coders,442
Claude,Claude,Professional Developers,1747
Claude,Codeium,Learning to Code,45
Claude,Codeium,Other Coders,88
Claude,Codeium,Professional Developers,266
Claude,Cody,Learning to Code,11
Claude,Cody,Other Coders,25
Claude,Cody,Professional Developers,90
Claude,GitHub Copilot,Learning to Code,115
Claude,GitHub Copilot,Other Coders,272
Claude,GitHub Copilot,Professional Developers,1318
Claude,Google Gemini,Learning to Code,108
Claude,Google Gemini,Other Coders,252
Claude,Google Gemini,Professional Developers,804
Claude,Lightning AI,Learning to Code,13
Claude,Lightning AI,Other Coders,22
Claude,Lightning AI,Professional Developers,33
Claude,Meta AI,Learning to Code,32
Claude,Meta AI,Other Coders,73
Claude,Meta AI,Professional Developers,279
Claude,Metaphor,Learning to Code,7
Claude,Metaphor,Other Coders,11
Claude,Metaphor,Professional Developers,21
Claude,Neeva AI,Learning to Code,8
Claude,Neeva AI,Other Coders,14
Claude,Neeva AI,Professional Developers,17
Claude,OpenAI Codex,Learning to Code,21
Claude,OpenAI Codex,Other Coders,32
Claude,OpenAI Codex,Professional Developers,89
Claude,Perplexity AI,Learning to Code,50
Claude,Perplexity AI,Other Coders,119
Claude,Perplexity AI,Professional Developers,427
Claude,Phind,Learning to Code,21
Claude,Phind,Other Coders,42
Claude,Phind,Professional Developers,147
Claude,Quora Poe,Learning to Code,16
Claude,Quora Poe,Other Coders,36
Claude,Quora Poe,Professional Developers,58
Claude,Replit Ghostwriter,Learning to Code,11
Claude,Replit Ghostwriter,Other Coders,17
Claude,Replit Ghostwriter,Professional Developers,28
Claude,Snyk Code,Learning to Code,8
Claude,Snyk Code,Other Coders,15
Claude,Snyk Code,Professional Developers,48
Claude,Tabnine,Learning to Code,23
Claude,Tabnine,Other Coders,36
Claude,Tabnine,Professional Developers,111
Claude,Visual Studio Intellicode,Learning to Code,51
Claude,Visual Studio Intellicode,Other Coders,112
Claude,Visual Studio Intellicode,Professional Developers,325
Claude,Whispr AI,Learning to Code,19
Claude,Whispr AI,Other Coders,30
Claude,Whispr AI,Professional Developers,84
Claude,WolframAlpha,Learning to Code,34
Claude,WolframAlpha,Other Coders,92
Claude,WolframAlpha,Professional Developers,194
Claude,You.com,Learning to Code,13
Claude,You.com,Other Coders,25
Claude,You.com,Professional Developers,58
Codeium,Amazon Q,Learning to Code,14
Codeium,Amazon Q,Other Coders,18
Codeium,Amazon Q,Professional Developers,89
Codeium,Andi,Learning to Code,5
Codeium,Andi,Other Coders,8
Codeium,Andi,Professional Developers,18
Codeium,AskCodi,Learning to Code,11
Codeium,AskCodi,Other Coders,12
Codeium,AskCodi,Professional Developers,30
Codeium,Bing AI,Learning to Code,43
Codeium,Bing AI,Other Coders,86
Codeium,Bing AI,Professional Developers,219
Codeium,ChatGPT,Learning to Code,146
Codeium,ChatGPT,Other Coders,304
Codeium,ChatGPT,Professional Developers,1297
Codeium,Claude,Learning to Code,36
Codeium,Claude,Other Coders,89
Codeium,Claude,Professional Developers,307
Codeium,Codeium,Learning to Code,150
Codeium,Codeium,Other Coders,356
Codeium,Codeium,Professional Developers,1386
Codeium,Cody,Learning to Code,10
Codeium,Cody,Other Coders,22
Codeium,Cody,Professional Developers,71
Codeium,GitHub Copilot,Learning to Code,68
Codeium,GitHub Copilot,Other Coders,158
Codeium,GitHub Copilot,Professional Developers,744
Codeium,Google Gemini,Learning to Code,76
Codeium,Google Gemini,Other Coders,149
Codeium,Google Gemini,Professional Developers,538
Codeium,Lightning AI,Learning to Code,10
Codeium,Lightning AI,Other Coders,14
Codeium,Lightning AI,Professional Developers,26
Codeium,Meta AI,Learning to Code,24
Codeium,Meta AI,Other Coders,42
Codeium,Meta AI,Professional Developers,116
Codeium,Metaphor,Learning to Code,6
Codeium,Metaphor,Other Coders,10
Codeium,Metaphor,Professional Developers,21
Codeium,Neeva AI,Learning to Code,8
Codeium,Neeva AI,Other Coders,12
Codeium,Neeva AI,Professional Developers,19
Codeium,OpenAI Codex,Learning to Code,14
Codeium,OpenAI Codex,Other Coders,20
Codeium,OpenAI Codex,Professional Developers,61
Codeium,Perplexity AI,Learning to Code,31
Codeium,Perplexity AI,Other Coders,68
Codeium,Perplexity AI,Professional Developers,195
Codeium,Phind,Learning to Code,23
Codeium,Phind,Other Coders,51
Codeium,Phind,Professional Developers,142
Codeium,Quora Poe,Learning to Code,13
Codeium,Quora Poe,Other Coders,17
Codeium,Quora Poe,Professional Developers,45
Codeium,Replit Ghostwriter,Learning to Code,7
Codeium,Replit Ghostwriter,Other Coders,10
Codeium,Replit Ghostwriter,Professional Developers,28
Codeium,Snyk Code,Learning to Code,12
Codeium,Snyk Code,Other Coders,12
Codeium,Snyk Code,Professional Developers,42
Codeium,Tabnine,Learning to Code,24
Codeium,Tabnine,Other Coders,39
Codeium,Tabnine,Professional Developers,106
Codeium,Visual Studio Intellicode,Learning to Code,45
Codeium,Visual Studio Intellicode,Other Coders,92
Codeium,Visual Studio Intellicode,Professional Developers,257
Codeium,Whispr AI,Learning to Code,14
Codeium,Whispr AI,Other Coders,17
Codeium,Whispr AI,Professional Developers,53
Codeium,WolframAlpha,Learning to Code,18
Codeium,WolframAlpha,Other Coders,46
Codeium,WolframAlpha,Professional Developers,88
Codeium,You.com,Learning to Code,9
Codeium,You.com,Other Coders,22
Codeium,You.com,Professional Developers,56
Cody,Amazon Q,Learning to Code,6
Cody,Amazon Q,Other Coders,18
Cody,Amazon Q,Professional Developers,28
Cody,Andi,Learning to Code,5
Cody,Andi,Other Coders,10
Cody,Andi,Professional Developers,18
Cody,AskCodi,Learning to Code,7
Cody,AskCodi,Other Coders,15
Cody,AskCodi,Professional Developers,25
Cody,Bing AI,Learning to Code,8
Cody,Bing AI,Other Coders,27
Cody,Bing AI,Professional Developers,68
Cody,ChatGPT,Learning to Code,20
Cody,ChatGPT,Other Coders,62
Cody,ChatGPT,Professional Developers,292
Cody,Claude,Learning to Code,11
Cody,Claude,Other Coders,28
Cody,Claude,Professional Developers,116
Cody,Codeium,Learning to Code,11
Cody,Codeium,Other Coders,25
Cody,Codeium,Professional Developers,86
Cody,Cody,Learning to Code,20
Cody,Cody,Other Coders,53
Cody,Cody,Professional Developers,230
Cody,GitHub Copilot,Learning to Code,13
Cody,GitHub Copilot,Other Coders,35
Cody,GitHub Copilot,Professional Developers,186
Cody,Google Gemini,Learning to Code,17
Cody,Google Gemini,Other Coders,42
Cody,Google Gemini,Professional Developers,129
Cody,Lightning AI,Learning to Code,6
Cody,Lightning AI,Other Coders,13
Cody,Lightning AI,Professional Developers,18
Cody,Meta AI,Learning to Code,9
Cody,Meta AI,Other Coders,19
Cody,Meta AI,Professional Developers,48
Cody,Metaphor,Learning to Code,5
Cody,Metaphor,Other Coders,13
Cody,Metaphor,Professional Developers,17
Cody,Neeva AI,Learning to Code,5
Cody,Neeva AI,Other Coders,15
Cody,Neeva AI,Professional Developers,17
Cody,OpenAI Codex,Learning to Code,7
Cody,OpenAI Codex,Other Coders,15
Cody,OpenAI Codex,Professional Developers,34
Cody,Perplexity AI,Learning to Code,10
Cody,Perplexity AI,Other Coders,24
Cody,Perplexity AI,Professional Developers,68
Cody,Phind,Learning to Code,10
Cody,Phind,Other Coders,18
Cody,Phind,Professional Developers,49
Cody,Quora Poe,Learning to Code,6
Cody,Quora Poe,Other Coders,11
Cody,Quora Poe,Professional Developers,22
Cody,Replit Ghostwriter,Learning to Code,4
Cody,Replit Ghostwriter,Other Coders,12
Cody,Replit Ghostwriter,Professional Developers,18
Cody,Snyk Code,Learning to Code,6
Cody,Snyk Code,Other Coders,12
Cody,Snyk Code,Professional Developers,24
Cody,Tabnine,Learning to Code,12
Cody,Tabnine,Other Coders,17
Cody,Tabnine,Professional Developers,33
Cody,Visual Studio Intellicode,Learning to Code,13
Cody,Visual Studio Intellicode,Other Coders,26
Cody,Visual Studio Intellicode,Professional Developers,77
Cody,Whispr AI,Learning to Code,7
Cody,Whispr AI,Other Coders,12
Cody,Whispr AI,Professional Developers,22
Cody,WolframAlpha,Learning to Code,7
Cody,WolframAlpha,Other Coders,17
Cody,WolframAlpha,Professional Developers,39
Cody,You.com,Learning to Code,9
Cody,You.com,Other Coders,15
Cody,You.com,Professional Developers,28
GitHub Copilot,Amazon Q,Learning to Code,30
GitHub Copilot,Amazon Q,Other Coders,62
GitHub Copilot,Amazon Q,Professional Developers,417
GitHub Copilot,Andi,Learning to Code,10
GitHub Copilot,Andi,Other Coders,16
GitHub Copilot,Andi,Professional Developers,30
GitHub Copilot,AskCodi,Learning to Code,17
GitHub Copilot,AskCodi,Other Coders,19
GitHub Copilot,AskCodi,Professional Developers,44
GitHub Copilot,Bing AI,Learning to Code,139
GitHub Copilot,Bing AI,Other Coders,284
GitHub Copilot,Bing AI,Professional Developers,1321
GitHub Copilot,ChatGPT,Learning to Code,565
GitHub Copilot,ChatGPT,Other Coders,1478
GitHub Copilot,ChatGPT,Professional Developers,10061
GitHub Copilot,Claude,Learning to Code,93
GitHub Copilot,Claude,Other Coders,286
GitHub Copilot,Claude,Professional Developers,1541
GitHub Copilot,Codeium,Learning to Code,61
GitHub Copilot,Codeium,Other Coders,142
GitHub Copilot,Codeium,Professional Developers,739
GitHub Copilot,Cody,Learning to Code,17
GitHub Copilot,Cody,Other Coders,31
GitHub Copilot,Cody,Professional Developers,173
GitHub Copilot,GitHub Copilot,Learning to Code,563
GitHub Copilot,GitHub Copilot,Other Coders,1631
GitHub Copilot,GitHub Copilot,Professional Developers,11528
GitHub Copilot,Google Gemini,Learning to Code,286
GitHub Copilot,Google Gemini,Other Coders,607
GitHub Copilot,Google Gemini,Professional Developers,3265
GitHub Copilot,Lightning AI,Learning to Code,25
GitHub Copilot,Lightning AI,Other Coders,31
GitHub Copilot,Lightning AI,Professional Developers,86
GitHub Copilot,Meta AI,Learning to Code,69
GitHub Copilot,Meta AI,Other Coders,116
GitHub Copilot,Meta AI,Professional Developers,642
GitHub Copilot,Metaphor,Learning to Code,14
GitHub Copilot,Metaphor,Other Coders,14
GitHub Copilot,Metaphor,Professional Developers,36
GitHub Copilot,Neeva AI,Learning to Code,13
GitHub Copilot,Neeva AI,Other Coders,17
GitHub Copilot,Neeva AI,Professional Developers,36
GitHub Copilot,OpenAI Codex,Learning to Code,38
GitHub Copilot,OpenAI Codex,Other Coders,82
GitHub Copilot,OpenAI Codex,Professional Developers,291
GitHub Copilot,Perplexity AI,Learning to Code,62
GitHub Copilot,Perplexity AI,Other Coders,183
GitHub Copilot,Perplexity AI,Professional Developers,790
GitHub Copilot,Phind,Learning to Code,36
GitHub Copilot,Phind,Other Coders,73
GitHub Copilot,Phind,Professional Developers,420
GitHub Copilot,Quora Poe,Learning to Code,22
GitHub Copilot,Quora Poe,Other Coders,33
GitHub Copilot,Quora Poe,Professional Developers,81
GitHub Copilot,Replit Ghostwriter,Learning to Code,15
GitHub Copilot,Replit Ghostwriter,Other Coders,17
GitHub Copilot,Replit Ghostwriter,Professional Developers,64
GitHub Copilot,Snyk Code,Learning to Code,17
GitHub Copilot,Snyk Code,Other Coders,37
GitHub Copilot,Snyk Code,Professional Developers,152
